price,location,area,bedrooms,bathrooms,purpose,property_type
79000000.0,"DHA Phase 6 - Block L, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
19500000.0,"DHA 9 Town, DHA Defence, Lahore, Punjab",5.0,3.0,5.0,For Sale,House
18500000.0,"DHA 9 Town, DHA Defence, Lahore, Punjab",5.0,4.0,5.0,For Sale,House
130000000.0,"DHA Phase 2 - Block R, DHA Phase 2, DHA Defence, Lahore, Punjab",40.0,6.0,7.0,For Sale,House
25000000.0,"Military Accounts Housing Society, Lahore, Punjab",8.0,6.0,6.0,For Sale,House
18000000.0,"Eden Boulevard Housing Scheme, College Road, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
30000000.0,"Bahria Town - Block DD, Bahria Town - Sector D, Bahria Town, Lahore, Punjab",10.0,5.0,7.0,For Sale,House
19500000.0,"Bahria Town - Block AA, Bahria Town - Sector D, Bahria Town, Lahore, Punjab",5.0,3.0,5.0,For Sale,House
75000000.0,"DHA Phase 3 - Block Z, DHA Phase 3, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
19000000.0,"Fort Villas, Lahore, Punjab",3.5,3.0,3.0,For Sale,House
18500000.0,"Bahria Orchard Phase 1 - Eastern, Bahria Orchard Phase 1, Bahria Orchard, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
12500000.0,"Bahria Orchard, Lahore, Punjab",5.0,3.0,5.0,For Sale,House
47500000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",10.0,4.0,5.0,For Sale,House
82500000.0,"DHA Phase 5, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
79900000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
8500000.0,"Lalpul, Mughalpura, Lahore, Punjab",2.5,3.0,3.0,For Sale,House
20500000.0,"Park View City - Tulip Overseas, Park View City, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
6000000.0,"Lalpul, Mughalpura, Lahore, Punjab",1.5,2.0,2.0,For Sale,House
18500000.0,"Park View City, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
22000000.0,"Park View City, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
110000000.0,"DHA Phase 6 - Block C, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,6.0,7.0,For Sale,House
